nsize	lsize	n	add	get	del
48	24	5	10600.320	8354.485	12332.657
48	32	1	7.180	0.240	3.230
48	32	2	11.700	3.180	10.721
48	32	3	69.141	41.181	76.412
48	32	4	836.737	536.052	916.279
48	32	5	10958.559	8388.306	12082.862
48	48	1	6.570	0.260	3.180
48	48	2	10.971	3.310	10.880
48	48	3	76.982	41.081	84.021
48	48	4	849.218	526.781	910.339
48	48	5	11290.026	7991.646	12849.408
48	64	1	5.190	0.270	3.230
48	64	2	9.070	3.100	7.880
48	64	3	69.871	43.551	67.861
48	64	4	871.618	567.532	929.589
48	64	5	10821.066	8542.108	11601.423
48	96	1	9.821	0.250	3.120
48	96	2	11.020	3.220	13.140
48	96	3	82.711	40.481	87.522
48	96	4	879.809	536.291	929.029
48	96	5	12083.992	8232.752	13391.300
48	128	1	5.720	0.250	3.130
48	128	2	7.800	2.820	7.130
48	128	3	80.001	89.572	76.772
48	128	4	928.840	546.751	951.290
48	128	5	11813.597	8057.338	11747.256
48	192	1	6.171	0.250	1.790
48	192	2	7.160	2.790	5.590
48	192	3	86.582	41.911	78.032
48	192	4	934.850	559.101	863.818
48	192	5	13469.900	8389.476	12033.371
48	256	1	6.581	0.250	1.850
48	256	2	8.530	2.790	5.680
48	256	3	83.592	40.121	74.272
48	256	4	964.710	565.192	863.468
48	256	5	12492.131	7867.424	11387.879
48	384	1	6.910	0.230	2.130
48	384	2	8.900	2.910	6.100
48	384	3	88.882	40.881	78.052
48	384	4	960.540	555.922	876.478
48	384	5	13870.909	7930.456	12500.872
48	512	1	7.331	0.340	2.030
48	512	2	8.670	3.020	5.880
48	512	3	82.912	40.301	72.952
48	512	4	1019.951	570.052	896.008
48	512	5	13468.071	7685.740	12245.646
64	4	1	8.210	0.250	6.290
64	4	2	9.610	3.060	10.611
64	4	3	87.452	40.970	107.043
64	4	4	972.040	599.213	1209.085
64	4	5	11695.064	7355.583	14300.068
64	6	1	9.450	0.250	7.210
64	6	2	9.961	2.950	10.200
64	6	3	72.312	42.210	82.392
64	6	4	865.249	613.382	1032.732
64	6	5	10597.991	7528.797	12952.291
64	8	1	10.590	0.290	6.490
64	8	2	10.181	3.120	10.090
64	8	3	116.042	42.991	94.532
64	8	4	950.710	551.711	1195.605
64	8	5	11764.646	7567.117	13531.103
64	12	1	6.080	0.290	3.150
64	12	2	9.650	3.140	11.401
64	12	3	69.391	42.491	73.042
64	12	4	816.907	557.252	986.930
64	12	5	10574.860	7624.549	12970.440
64	16	1	6.401	0.280	3.370
64	16	2	10.570	3.120	10.950
64	16	3	73.061	40.291	71.031
64	16	4	761.336	537.341	886.118
64	16	5	9968.558	7424.655	11748.235
64	24	1	5.470	0.260	3.060
64	24	2	10.310	3.060	11.010
64	24	3	72.072	41.431	80.011
64	24	4	853.407	544.042	968.720
64	24	5	10922.398	7995.326	12122.874
64	32	1	5.690	0.250	3.181
64	32	2	11.210	3.150	11.240
64	32	3	66.171	40.231	78.091
64	32	4	801.326	528.021	949.810
64	32	5	10379.267	8092.040	11668.674
64	48	1	9.191	0.290	3.190
64	48	2	10.470	3.230	12.810
64	48	3	74.411	41.051	84.582
64	48	4	811.057	528.531	888.438
64	48	5	10695.123	7786.632	12424.590
64	64	1	6.281	0.260	3.080
64	64	2	7.980	3.120	7.440
64	64	3	68.982	40.261	68.891
64	64	4	860.298	565.372	937.670
64	64	5	10379.456	8164.521	11276.245
64	96	1	8.070	0.240	3.270
64	96	2	10.481	3.180	10.520
64	96	3	82.372	40.681	86.522
64	96	4	900.549	544.801	911.059
64	96	5	12046.312	7974.076	12809.318
64	128	1	5.820	0.240	3.320
64	128	2	8.171	2.800	7.120
64	128	3	76.262	41.250	75.472
64	128	4	880.268	600.963	934.000
64	128	5	11297.016	7722.361	11396.379
64	192	1	5.660	0.260	1.810
64	192	2	8.290	2.840	5.600
64	192	3	90.122	42.481	73.222
64	192	4	933.419	544.621	838.268
64	192	5	13228.446	7872.114	11805.116
64	256	1	6.031	0.260	1.820
64	256	2	8.390	2.790	5.670
64	256	3	80.732	40.151	71.181
64	256	4	952.650	542.721	873.778
64	256	5	12227.016	7792.213	11389.208
64	384	1	5.890	0.230	2.071
64	384	2	8.520	2.920	5.650
64	384	3	84.892	40.651	75.172
64	384	4	925.449	553.802	860.817
64	384	5	13188.716	7647.109	12016.441
64	512	1	6.030	0.260	1.930
64	512	2	8.711	2.920	5.740
64	512	3	80.722	39.090	72.222
64	512	4	981.921	590.872	888.088
64	512	5	12963.621	7448.785	11991.551
96	4	1	7.000	0.240	6.440
96	4	2	9.830	3.100	9.641
96	4	3	81.622	41.231	107.592
96	4	4	951.260	550.201	1294.317
96	4	5	11594.473	7527.768	14608.996
96	6	1	9.080	0.260	6.860
96	6	2	10.680	3.060	9.960
96	6	3	74.382	39.581	81.731
96	6	4	889.208	554.522	1041.191
96	6	5	10375.717	7131.349	12067.292
96	8	1	7.530	0.290	6.140
96	8	2	9.280	3.060	10.090
96	8	3	80.532	41.701	90.042
96	8	4	996.121	576.902	1194.185
96	8	5	11774.467	7363.203	13669.846
96	12	1	5.930	0.290	3.040
96	12	2	10.120	3.171	12.200
96	12	3	69.601	43.071	72.402
96	12	4	910.499	571.052	947.479
96	12	5	10411.918	7674.320	12419.479
96	16	1	9.460	0.250	3.040
96	16	2	9.430	3.210	10.450
96	16	3	61.662	38.710	69.082
96	16	4	768.626	556.122	890.608
96	16	5	10131.702	7572.479	11543.311
96	24	1	5.340	0.280	3.100
96	24	2	10.760	2.900	13.830
96	24	3	75.672	41.671	78.091
96	24	4	901.588	554.832	939.459
96	24	5	10598.472	7871.284	11916.259
96	32	1	6.420	0.250	3.190
96	32	2	11.090	3.190	10.270
96	32	3	64.781	41.011	73.491
96	32	4	797.186	536.201	934.540
96	32	5	10144.053	8092.548	11487.370
96	48	1	5.410	0.240	3.070
96	48	2	10.900	3.280	10.590
96	48	3	74.641	40.091	86.612
96	48	4	840.728	538.861	916.869
96	48	5	11105.463	7845.723	12497.592
96	64	1	6.720	0.281	3.050
96	64	2	10.700	3.220	11.310
96	64	3	73.211	40.551	70.851
96	64	4	880.168	563.432	925.459
96	64	5	10605.781	8172.071	11342.267
96	96	1	4.890	0.240	3.120
96	96	2	10.690	3.340	11.461
96	96	3	82.181	43.191	89.642
96	96	4	894.059	565.352	924.139
96	96	5	12089.543	8203.642	13215.427
96	128	1	5.861	0.240	3.280
96	128	2	8.740	2.720	7.060
96	128	3	77.262	45.561	72.052
96	128	4	910.829	550.601	918.869
96	128	5	11380.527	7967.236	11621.933
96	192	1	6.501	0.250	5.080
96	192	2	8.430	2.830	5.960
96	192	3	89.821	40.861	75.302
96	192	4	941.950	540.671	850.528
96	192	5	13421.181	8069.789	12013.471
96	256	1	6.280	0.250	1.830
96	256	2	8.400	2.770	5.591
96	256	3	82.391	39.071	71.162
96	256	4	1009.061	548.921	865.009
96	256	5	12258.365	7808.493	11249.586
96	384	1	6.180	0.230	2.160
96	384	2	8.690	2.911	5.880
96	384	3	85.162	40.151	74.751
96	384	4	941.630	591.142	856.068
96	384	5	13429.110	7773.572	12197.306
96	512	1	6.020	0.280	1.910
